Unnamed: 0,Acc_no,Analysis,Array_type,Cell_line,CO2,Control_condition,Control_gene_down,Control_gene_up,Control_PD,Control_specifics,Control_subtype,Control_time,Control_type,Disease,ENA_acc,FBS,Gene,Gene_down,Gene_up,Immortal_line,Immortal_mechanism,LogFC,MegaP,numeric_time,Organ,Oxygen,P_S,PD,Pre_SASP_t,Pvalues,Quiesce_inducer,Radiation_dose,Replicates,RNAseq_Microarray,Sen_subtype,Sen_type,SENvCON,Seq_platform,Single_Paired,Species,Spot_length,Study,Subtype_subtype,Time_after_induction,Treatment,Treatment_dose,X,X1or2_colour,Comparison,cellage_gene_name,cellage_senescence_effect,cellage_senescence_type,cellage_pmid,direction
2541212,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,GR,,BRAF_122_Clob_122h,RAF,5d,OIS,none,PRJNA556258,,FOS,RELA,none,Yes,hTERT,-2.062786,-1.101806,1.0,Skin,,,,Yes,0.907601,,1000ng_ml,3,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,1d,compoundA,2uM_2h,O24CpdA2_O122Clob122,1,carvalho_1_O24CpdA2_O122Clob122,"Fos proto-oncogene, AP-1 transcription factor subunit",Inhibits,Unclear,1560044,no_change
525252,GSE40349,Limma,Affymetrix_U133A,IMR,,RAS,none,none,,RASshLuc,RAS,7d,OIS,none,PRJNA173792,10%,LIMA1,pRb_E2F7,none,No,,-0.07296942,-1.530594,7.0,Lung,,,,No,0.6533412,,,2,M,RAS,OIS,No,,,Human,,aksoy_1,ER:RasV12,7d,shpRb_shE2F7,none,SshRBE2F7_R,1,aksoy_1_SshRBE2F7_R,LIM domain and actin binding 1,Inhibits,Replicative,26206181,no_change
10908719,GSE153921,Limma,,IMR,,OIS,none,none,,RAS_100nM4OHT,RAS,5d,OIS,none,PRJNA644552,10.00%,SAT2,XPO7,none,No,,0.1229133,2.583558,5.0,Lung,,,,No,0.3870631,,100nM4OHT_d2,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,innes_2,ER_RAS,5d,shXPO7,none,OXKD_O,,innes_2_OXKD_O,spermidine/spermine N1-acetyltransferase family member 2,Inhibits,Unclear,26611489,no_change
2542947,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,GR,,BRAF_122_Clob_122h,RAF,5d,OIS,none,PRJNA556258,,LMNA,RELA,none,Yes,hTERT,-24.44685,-125.5877,1.0,Skin,,,,Yes,0.007962563,,1000ng_ml,3,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,1d,compoundA,2uM_2h,O24CpdA2_O122Clob122,1,carvalho_1_O24CpdA2_O122Clob122,lamin A/C,Unclear,Unclear,28483909,downregulated
10430187,GSE133292,Limma,,BJ,,Bleomycin,none,none,,Bleomycin12d,Bleomycin,12d,DDIS,none,PRJNA551006,10.00%,PRKAA2,p53,none,No,,-0.3208524,-5.614633,28.0,Skin,,,,No,0.178106,,40ugml_2hr,2,R,Bleomycin,DDIS,No,Illumina_HiSeq_2500,Paired,Human,250,wang_2,Bleomycin,28d,sgp53,none,Bshp53_B12d,,wang_2_Bshp53_B12d,protein kinase AMP-activated catalytic subunit alpha 2,Inhibits,Stress-induced,26890602,no_change
17864211,GSE190998,Limma,,WI38,5%,Prolif,none,none,,Prolif_siCtrl,Etoposide,8d,DDIS,none,PRJNA789266,10%,MCU,BDNF,none,No,,-0.259561987943645,-10308.5019143986,8.0,Lung,,0.50%,,No,9.70073060376727e-05,,50uM,3,R,Etoposide,DDIS,No,Illumina_NovaSeq6000,Paired,Human,204,Anerillas_2,Etoposide,8d,siBDNF,none,DB_P,,Anerillas_2_DB_P,mitochondrial calcium uniporter,Induces,Oncogene-induced,24797322,no_change
5753316,GSE122079,Limma,,IMR,,RAS,none,none,14.0,RAS_EV36h,RAS,7d,OIS,none,PRJNA503415,10.00%,SRSF3,IONpump,none,No,,0.4898086,2057.648,7.0,Lung,,,14.0,No,0.0004859919,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,digoxin,none,RASdig36_RAS36,,herranz_2_RASdig36_RAS36,serine and arginine rich splicing factor 3,Inhibits,Replicative,22777358,no_change
5752229,GSE122079,Limma,,IMR,,RAS,none,none,14.0,RAS_EV36h,RAS,7d,OIS,none,PRJNA503415,10.00%,RPTOR,IONpump,none,No,,-0.9460477,-192.5946,7.0,Lung,,,14.0,No,0.005192254,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,digoxin,none,RASdig36_RAS36,,herranz_2_RASdig36_RAS36,regulatory associated protein of MTOR complex 1,Induces,Unclear,28888905,no_change
10283059,GSE140961,Limma,,Tig3,,Dox,none,none,,Dox10d,Dox,,DDIS,none,PRJNA591563,,SIRT6,BRD4,none,No,,-0.2592935,-1.877607,12.0,Lung,,Yes,,No,0.5325928,,250ng/ml10d,3,R,Doxorubicin,DDIS,No,Illumina_HiSeq_2500,Single,Human,75,wakita,Dox,12d,ARV825,10nM_2d,DA_D,,wakita_DA_D,sirtuin 6,Inhibits,Replicative,25819580,no_change
2740067,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,GR,,BRAF_24h_Clob_2h,RAF,1d,OIS,none,PRJNA556258,,HNRNPAB,none,GR,Yes,hTERT,-8.916287,-36.36021,2.0,Skin,,,,Yes,0.02750259,,1000ng_ml,4,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,2d,clobetasol,2nM_2h,O48Clob2_O24Clob2,1,carvalho_1_O48Clob2_O24Clob2,heterogeneous nuclear ribonucleoprotein A/B,Inhibits,Unclear,32264951,downregulated
4260718,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,DICER1,IL15,none,No,,0.0,0.0,6.0,Lung,,,14.0,No,1.0,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,IL15,none,IL15_RASc,,georgilis_1_IL15_RASc,"dicer 1, ribonuclease III",Inhibits,Stress-induced,26990999,no_change
5395862,GSE127116,Limma,,IMR,,RAS_siLTR2,LTR2,none,,RASd8_siLTR2,RAS,8d,OIS,none,PRJNA524181,10.00%,VDR,LTR10,none,No,,-0.1774152,-3.693005,8.0,Lung,,,,No,0.2707822,,,3,R,RAS,OIS,No,IonXpress,Single,Human,110,hari,ER:RAS,8d,siLTR10,none,R8siLTR10_R8siLTR2,,hari_R8siLTR10_R8siLTR2,vitamin D receptor,Inhibits,Oncogene-induced,27041576,no_change
9899369,GSE74324,Limma,,IMR,,RASwJQ1,BRD4,none,,RASwJQ1,RAS,12d,OIS,none,PRJNA299683,10.00%,SLC13A3,BRD4,none,No,,-1.068973,-5230.863,12.0,Lung,,,,No,0.000191173,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,100,tasdemir,HRASG12V,12d,shBRD4,none,RASshBRD4_RASwJQ1,,tasdemir_RASshBRD4_RASwJQ1,solute carrier family 13 member 3,Induces,Stress-induced,25384549,downregulated
162691,GSE103938,Limma,,IMR,,RAS_Rap1nM,mTOR,none,12.0,RAS_Rap1nM,RAS,10d,OIS,none,PRJNA407729,,CDKN2AIP,mTOR,none,No,,0.101143799139126,1.19982679889372,10.0,Lung,,,12.0,No,0.833453629242185,,,3,R,OSKM,OSKM,No,Illumina_HiSeq_2500,Single,Human,50,aarts_1,OSKM,10d,rapamycin,1nM,OSKM1nMRap_R1nMRap,,aarts_1_OSKM1nMRap_R1nMRap,CDKN2A interacting protein,Induces,Replicative,19001376,no_change
11738664,GSE178115,Limma,Agilent,HDF,,REP,ROCK_ATM,none,,REP_15d,REP,15d,REP,none,PRJNA737497,10%,PAK4,none,none,No,,-30.5,-260.7509,15.0,Skin,,,,No,0.003835077,,,3,M,REP,REP,No,,,Human,,Yang,REP,15d,Y27632_KU60019,2.5uM_0.5uM,R15dCOMBOi_R15d,1,Yang_R15dCOMBOi_R15d,p21 (RAC1) activated kinase 4,Induces,Unclear,26583757,downregulated
6694883,GSE53379,Limma,Illumin_HWG6V3,IMR,,DDISshp53,p53,none,,Quiesce1dEtopshp53,Etoposide,7d,DDIS,none,PRJNA231867,10.00%,TNFSF15,p53,none,No,,1.64111,3.85877e+18,7.0,Lung,5.00%,Yes,,No,2.5914989999999996e-19,,10dPuromycin,3,M,RAS,OIS,No,,,Human,,kirschner_1,H-RASG12V,7d,shp53,none,Rshp53_QD24shp53,1,kirschner_1_Rshp53_QD24shp53,TNF superfamily member 15,Induces,Replicative,20675618,upregulated
5871677,GSE122079,Limma,,IMR,,RAS_digoxin,IONpump,none,14.0,RAS16h_dig,RAS,7d,OIS,none,PRJNA503415,10.00%,HMGA2,IONpump,none,No,,-0.9109502,-25105425.0,7.0,Lung,,,14.0,No,3.983203e-08,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,digoxin_caspase_inhibitor,none,RASdig36CI_RASdig16,,herranz_2_RASdig36CI_RASdig16,high mobility group AT-hook 2,Induces,Oncogene-induced,16901784,no_change
4347279,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,DEK,MAP3K6,none,No,,0.4302457,7.298214,6.0,Lung,,,14.0,No,0.1370198,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,MAP3K6,none,MAP3K6_RASc,,georgilis_1_MAP3K6_RASc,DEK proto-oncogene,Inhibits,Replicative,16254365,no_change
9744031,GSE74324,Limma,,IMR,,RAS,none,none,,RASshCwDMSO,RAS,12d,OIS,none,PRJNA299683,10.00%,DDAH2,BRD4,none,No,,1.998846,1.102091e+23,12.0,Lung,,,,No,9.073662999999999e-24,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,100,tasdemir,HRASG12V,12d,JQ1,100nM_48h,RASwJQ1_RASwDMSO,,tasdemir_RASwJQ1_RASwDMSO,dimethylarginine dimethylaminohydrolase 2,Inhibits,Unclear,24764313,upregulated
10250795,GSE132369,Limma,,IMR,5.00%,IR_Parkin,none,Parkin,,IR_Parkin,IR,10d,DDIS,Parkin,PRJNA547764,10.00%,CENPA,mitochondrial,Parkin,No,,-1.013926,-100076.1,10.0,Lung,3.00%,Yes,,No,9.992396e-06,,20Gy,3,R,IR,DDIS,No,NextSeq_500,Paired,Human,71,vizioli,Xrays,10d,CCCP,48h12.5uMCCCP2daIR,ICP_IP,,vizioli_ICP_IP,centromere protein A,Inhibits,Unclear,20160010,downregulated
5357059,GSE127116,Limma,,IMR,,RAS_siLTR2,LTR2,none,,RASd8_siLTR2,RAS,8d,OIS,none,PRJNA524181,10.00%,SOD2,LTR2,none,No,,1.667989,381986.9,8.0,Lung,,,,No,2.617891e-06,,,3,R,RAS,OIS,No,IonXpress,Single,Human,110,hari,ER:RAS,8d,siLTR2,none,R8siLTR2_R5siLTR2,,hari_R8siLTR2_R5siLTR2,superoxide dismutase 2,Induces,Unclear,12592389,upregulated
5785030,GSE122079,Limma,,IMR,,RAS,none,none,14.0,RAS_EV36h,RAS,7d,OIS,none,PRJNA503415,10.00%,HMGA1,IONpump,none,No,,-1.046443,-57233522196.0,7.0,Lung,,,14.0,No,1.747228e-11,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,ouabain,none,RASouab36_RAS36,,herranz_2_RASouab36_RAS36,high mobility group AT-hook 1,Induces,Oncogene-induced,16901784,downregulated
5858987,GSE122079,Limma,,IMR,,RAS_digoxin,IONpump,none,14.0,RAS16h_dig,RAS,7d,OIS,none,PRJNA503415,10.00%,GRK6,IONpump,none,No,,-1.117932,-952530.2,7.0,Lung,,,14.0,No,1.049835e-06,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,digoxin,none,RASdig36_RASdig16,,herranz_2_RASdig36_RASdig16,G protein-coupled receptor kinase 6,Induces,Unclear,26583757,downregulated
4266179,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,PTTG1,IL15,none,No,,-1.73159,-1208059430.0,6.0,Lung,,,14.0,No,8.277738e-10,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,IL15,none,IL15_RASc,,georgilis_1_IL15_RASc,"PTTG1 regulator of sister chromatid separation, securin",Induces,Unclear,20452981,downregulated
8386003,GSE24810,Limma,Affymetrix_U133A,HMF3A,5%,OISe2fkd,E2F,none,,Active_SV40LT_e2fkd,SV40,7d,OIS,none,PRJNA132307,0.25%,MORC3,p53,none,Yes,hTERT_SV40_LT,-0.288308,-23.70977,7.0,Skin,20%,Yes,,No,0.0421767,,,3,M,SV40,OIS,No,,,Human,,parmjit_1,SV40_LT,7d,shp53,none,SSVp53sh_SSVe2f,1,parmjit_1_SSVp53sh_SSVe2f,MORC family CW-type zinc finger 3,Induces,Unclear,17332504,no_change
25620431,GSE224071,Limma,,IMR,5%,OIS,none,none,,RAS_100nM4OHT,RAS,10d,OIS,none,PRJNA929514,10%,LIN54,none,none,No,,0.272468653878866,2.79784156096779,10.0,Lung,,Yes,,No,0.357418380636999,,100nM_4OHT_7days,3,R,RAS,OIS,No,NextSeq_2000,Single,Human,71,McHugh_2,RAS,10d,IMP1088,300nM,OIMP_O,,McHugh_2_OIMP_O,lin-54 DREAM MuvB core complex component,Inhibits,Oncogene-induced,21860417,no_change
4264033,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,MIF,IL15,none,No,,-1.118988,-2040511.0,6.0,Lung,,,14.0,No,4.900732e-07,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,IL15,none,IL15_RASc,,georgilis_1_IL15_RASc,macrophage migration inhibitory factor,Inhibits,Stress-induced,24274936,downregulated
9673027,GSE74324,Limma,,IMR,,RAS,none,none,,RASshC,RAS,12d,OIS,none,PRJNA299683,10.00%,MCAM,none,none,No,,-0.6107052,-2371246.0,12.0,Lung,,,,No,4.217193e-07,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,100,tasdemir,HRASG12V,12d,DMSO,100nM_48h,RASwDMSO_RAS,,tasdemir_RASwDMSO_RAS,melanoma cell adhesion molecule,Inhibits,Replicative,26941359,no_change
2581235,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,none,,BRAF_48h_DMSO_2h,RAF,2d,OIS,none,PRJNA556258,,NEK4,none,GR,Yes,hTERT,10.26661,43.25917,2.0,Skin,,,,Yes,0.02311649,,1000ng_ml,4,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,2d,clobetasol,2nM_2h,O48Clob2_O48DMSO2,1,carvalho_1_O48Clob2_O48DMSO2,NIMA related kinase 4,Induces,Replicative,22851694,upregulated
18242191,GSE222676,Limma,,IMR,,DDIS,none,none,,Bleomycin_10ugml_24hr,Bleomycin,7d,DDIS,none,PRJNA923006,15%,NCAPG2,ABCA1,none,Yes,hTERT,-1.07793845723302,-79953.495893147,7.0,Lung,3%,,,No,1.25072704930431e-05,,10ugml_24hr,2,R,Bleomycin,DDIS,No,NovaSeq_6000,Paired,Human,202,Roh,Bleomycin_ABCA1KO,7d,ABCA1_CRISPR,none,DKO_D,Na,Roh_DKO_D,non-SMC condensin II complex subunit G2,Inhibits,Unclear,25474630,downregulated
3723324,GSE2487,Limma,Affymetrix_U133A,IMR,,OIS,none,SmallT,,MEK_ER_SmallT,MEK,3d,OIS,none,PRJNA91885,,SRSF3,none,SmallT_E6_E7,Yes,hTERT,-235.6,-127.5359,,Lung,,,,No,0.007840929,,,2,M,,,No,,,Human,,collado_1,,,SmallT_E6_E7,none,RstE67_Rst,1,collado_1_RstE67_Rst,serine and arginine rich splicing factor 3,Inhibits,Replicative,22777358,downregulated
4266860,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,RPS6KB1,IL15,none,No,,1.16087,392446.0,6.0,Lung,,,14.0,No,2.548121e-06,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,IL15,none,IL15_RASc,,georgilis_1_IL15_RASc,ribosomal protein S6 kinase B1,Induces,Unclear,22928666,upregulated
11654852,GSE178115,Limma,Agilent,HDF,,REP,ATM,none,,REP_8d,REP,8d,REP,none,PRJNA737497,10%,PON1,none,none,No,,-8.0,-95.99143,8.0,Skin,,,,No,0.0104176,,,3,M,REP,REP,No,,,Human,,Yang,REP,8d,KU60019,0.5uM,R8dATMi_R8d,1,Yang_R8dATMi_R8d,paraoxonase 1,Inhibits,Unclear,22897574,downregulated
4506718,GSE101766,Limma,,IMR,,RAS,none,none,14.0,RAS_shC,RAS,6d,OIS,none,PRJNA395386,,BRD7,UBE2V2,none,No,,-0.1596982,-1.507641,6.0,Lung,,,14.0,No,0.663288,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,georgilis_1,ER_RAS,6d,UBE2V2,none,UBE2V2_RASc,,georgilis_1_UBE2V2_RASc,bromodomain containing 7,Induces,Replicative,20660729,no_change
3610696,GSE19864,Limma,Affymetrix_U133A,IMR,,RAS_shp107,p107,none,,RAS_shp107,RAS,7d,OIS,none,PRJNA124029,10.0%,ROMO1,p130,none,No,,2.433516,2298527.0,7.0,Lung,,,,No,4.350612e-07,,,2,M,RAS,OIS,No,,,Human,,chicas_1,H-rasV12,7d,shp130,none,Rshp130_Rshp107,1,chicas_1_Rshp130_Rshp107,reactive oxygen species modulator 1,Induces,Replicative,18836179,upregulated
12503312,GSE196610,Limma,,IMR,5%,DDIS,none,Parkin,,IR_ParkinYFP,IR,10d,DDIS,none,PRJNA806156,10.00%,CDK2AP1,none,Parkin,No,,-0.0739296817295436,-4.17863149056938,10.0,Lung,3%,,,No,0.239312799479176,,20Gy,3,R,IR,DDIS,No,Illumina_NovaSeq6000,Paired,Human,202,Victorelli,IR,10d,CCCP,12uM,DPC_DP,,Victorelli_DPC_DP,cyclin dependent kinase 2 associated protein 1,Inhibits,Unclear,25785833,no_change
5786623,GSE122079,Limma,,IMR,,RAS,none,none,14.0,RAS_EV36h,RAS,7d,OIS,none,PRJNA503415,10.00%,MORC3,IONpump,none,No,,1.146283,3387977.0,7.0,Lung,,,14.0,No,2.951614e-07,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,herranz_2,ER_RAS,7d,ouabain,none,RASouab36_RAS36,,herranz_2_RASouab36_RAS36,MORC family CW-type zinc finger 3,Induces,Unclear,17332504,upregulated
103811,GSE103938,Limma,,IMR,,RAS_Rap1nM,mTOR,none,12.0,RAS10d_Rap1nM,RAS,10d,OIS,none,PRJNA407729,,IL1R1,mTOR,none,No,,-0.137492400915734,-1.27783889463979,10.0,Lung,,,12.0,No,0.782571264808692,,,3,R,RAS,OIS,No,Illumina_HiSeq_2500,Single,Human,50,aarts_1,RAS,10d,rapamycin,10nM,R10nMRap_R1nMRap,,aarts_1_R10nMRap_R1nMRap,interleukin 1 receptor type 1,Induces,Oncogene-induced,18267069,no_change
2543587,GSE134747,Limma,Illumina_HT12V4,BJ,,OIS,none,GR,,BRAF_122_Clob_122h,RAF,5d,OIS,none,PRJNA556258,,MORC3,RELA,none,Yes,hTERT,-1320.514,-372429516740.0,1.0,Skin,,,,Yes,2.685072e-12,,1000ng_ml,3,M,RAF,OIS,No,,,human,,carvalho_1,BRAF_doxycycline,1d,compoundA,2uM_2h,O24CpdA2_O122Clob122,1,carvalho_1_O24CpdA2_O122Clob122,MORC family CW-type zinc finger 3,Induces,Unclear,17332504,downregulated
3721323,GSE2487,Limma,Affymetrix_U133A,IMR,,OIS,none,SmallT,,MEK_ER_SmallT,MEK,3d,OIS,none,PRJNA91885,,PRKCD,none,SmallT_E6_E7,Yes,hTERT,-155.2,-2026.166,,Lung,,,,No,0.0004935429,,,2,M,,,No,,,Human,,collado_1,,,SmallT_E6_E7,none,RstE67_Rst,1,collado_1_RstE67_Rst,protein kinase C delta,Induces,Replicative,19279193,downregulated
7883330,GSE62701,Limma,Illumina_HT12V4,WI38,,DDIS,none,none,,DDIS_EV,Etoposide,21d,DDIS,none,PRJNA264903,,TRIM28,H2AJ,none,Yes,hTERT,9.665688,1.174257,21.0,Lung,,,,No,0.8516027,,,4,M,Etoposide,DDIS,No,,,Human,,olaso_1,Etoposide,21d,shH2AJ,none,DshH2_D,1,olaso_1_DshH2_D,tripartite motif containing 28,Induces,Oncogene-induced,25160591,no_change
11665380,GSE178115,Limma,Agilent,HDF,,REP,ROCK_ATM,none,,REP_8d,REP,8d,REP,none,PRJNA737497,10%,CKAP2,none,none,No,,119.6667,16.45924,8.0,Skin,,,,No,0.06075614,,,3,M,REP,REP,No,,,Human,,Yang,REP,8d,Y27632_KU60019,2.5uM_0.5uM,R8dCOMBOi_R8d,1,Yang_R8dCOMBOi_R8d,cytoskeleton associated protein 2,Inhibits,Unclear,32264951,no_change
